year,acc_code,km,province,vehicle_main,assumed_cause,accident_type,weather,latitude,longitude,total_vehicles,motorcycle,tricycle,private_car,van,pickup_passenger,bus,pickup_truck,truck_6w,truck_10w,truck_big,e_tan,other_vehicle,pedestrian,fatalities,serious_injured,minor_injured,total_injured,total_impact,month,accident_day,day_of_week,is_festival,is_risky_month
2022,6566872,17.43,10,2,70,116,5,15.113158,99.981244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566880,0.5,37,2,77,116,3,16.489238,103.077625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485750,17.125,36,2,70,30,5,7.934513897,98.2771468,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5624452,25.35,66,7,9,30,5,17.37246246,102.8228661,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5836781,4.835,64,9,9,31,5,14.26148721,100.586164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5783258,43.985,68,2,15,30,5,15.54158028,99.47996466,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566818,3.3,72,2,70,116,5,19.912049,99.170371,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6566847,1.75,32,7,70,116,5,8.40338,98.246461,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,5,0,0
2022,5486896,6.1,19,2,9,30,5,14.9612272,101.9085976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566855,7.1,30,2,70,116,5,6.79488,101.525934,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5484504,55.95,72,2,70,24,5,19.56059891,98.63373576,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5758724,3.2,10,2,70,30,5,15.01607766,100.1447797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485830,4.4,35,9,9,30,5,16.83329422,100.202651,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5976201,19.012,25,5,9,30,5,17.92529185,103.9472911,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6243236,57.0,53,6,15,0,5,13.4328179,100.0513288,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,5,0,0
2022,6566912,17.1,67,2,70,4,5,17.213629,100.136878,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,5,0,0
2022,5493999,53.7,58,2,9,30,5,14.77589138,99.75413202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485509,19.1,63,9,15,4,5,17.03424109,102.5081894,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5652876,17.05,22,9,9,30,5,13.92771509,100.5278474,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920069,208.2,73,9,70,31,5,12.65186681,99.9518296,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7330783,138.45,40,9,9,31,5,16.19508681,104.5241511,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566784,1.7,32,2,70,116,5,8.40289,98.246599,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,1,5,0,0
2022,5621876,32.3,70,9,9,30,5,14.50273049,100.4182899,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6239821,290.2,20,2,9,30,5,8.184814902,99.61552619,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5478917,158.5,59,9,9,30,5,9.161377024,99.14324819,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5508653,0.05,76,9,9,30,5,18.16155686,100.1765907,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6362090,31.6,58,9,9,30,5,14.21603734,100.0240642,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,7330790,1.36,55,9,9,30,5,14.70503551,100.7814422,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5758687,162.85,10,2,9,4,5,15.17950374,100.1382163,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5699846,89.965,59,9,9,30,5,9.125473706,99.20744149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5483057,14.5,66,2,9,30,5,17.56690026,102.6710263,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5777065,56.04,58,2,9,30,5,14.37208114,100.1804611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566874,3.55,58,2,9,116,3,14.754413,99.827283,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566851,5.9,43,2,9,116,5,13.339197,99.776201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5483039,17.1,6,7,9,30,5,16.5067057,102.8041389,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5955804,184.225,19,13,9,30,5,15.17349286,102.3359647,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0
2022,7590278,316.09,67,7,57,30,5,17.57684976,100.1468664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6288915,45.0,63,9,9,4,5,17.22754554,102.4072525,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5500585,108.6,31,2,9,4,2,19.48012119,100.3308365,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,1,5,0,0
2022,6566824,1.5,54,2,70,116,5,13.508206,100.069372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5483154,4.55,1,9,9,31,5,8.084875087,98.88633816,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485786,22.9,52,5,62,30,5,13.69683927,100.8266428,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485787,13.7,20,2,70,0,5,8.361381286,99.79232667,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,1,1,5,0,0
2022,5975408,163.475,50,7,9,31,5,7.162718316,100.5526015,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5919746,140.876,25,7,9,30,5,18.33477188,103.6944634,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
